timestamp	experiment	hypothesis	morph_p95	entry_p95	idle_p95	errors	score	decision	notes
2026-08-17T13:08Z	000	baseline (frozen)	66.7	83.4	66.7	0	75.93	keep	morph mean 59.24ms; SwiftShader DPR1 CPUx4; harness frozen from here
2026-08-17T13:12Z	001	H1 coarse pointer: opacity crossfade, no SVG goo/blur	66.7	83.4	66.7	0	76.12	keep	morph mean 59.24->58.1ms; real-device win much larger (filter raster removed)
2026-08-17T13:14Z	002	H2 antialias:false (SDF shader self-AA)	66.7	83.4	66.7	0	76.18	keep	morph mean 58.1->57.73ms, median 66.5->50.1ms
2026-08-17T13:16Z	003	H11 alpha:false + setClearColor(page)	66.7	83.4	66.7	0	76.21	keep	compositor per-pixel blend vs DOM removed; idle fps 17.5->17.7
2026-08-17T13:19Z	004	H-new glyph textures: generateMipmaps + trilinear	66.7	83.4	66.7	0	76.44	keep	morph mean 57.54->56.19ms; helps all phases (glyphs sample every frame)
2026-08-17T13:21Z	005	H-new textGroup.visible=false after textOut	66.7	83.4	66.7	0	76.68	keep	morph mean 56.19->54.82ms; idle 18.1->18.6fps; spent glyphs no longer draw
2026-08-17T13:23Z	006	H-new textGroup hidden until textStart + initTexture preupload	66.7	83.4	66.6	0	76.86	keep	entry pctOver33 95.7->95.2; morph/idle delta partly noise; no reveal-frame upload hitch
2026-08-17T13:46Z	feat-dive	feature (not an experiment): click dives into card, detail layer over art	66.7	83.3	66.6	0	77.41	keep	no frozen-metric regression; smoke: desktop click+ESC, mobile tap+close all pass
2026-08-17T14:01Z	feat-meta-layout	feature: narrow band lockups stacked bottom-right (card collision fix)	66.6	83.3	66.7	0	77.26	keep	no regression; screenshots before/after in autoresearch/shots; PC/MO unchanged
2026-08-18T09:40Z	feat-motion	feature: name follows the card on snap commit; relay morph on touch, asymmetric melt on desktop; two-beat dive with honey peel	66.7	83.4	66.7	0	76.96	keep	no regression: baseline 76.88/77.18/77.24 vs 76.87/77.11/76.90 (3 runs each, means 77.10 vs 76.96, inside spread); resting layout byte-identical at 5 viewports; morph start 1613 -> 290ms, mobile double-print 951ms@0.49 -> 33ms@0.08, desktop blank frame gone
2026-08-18T14:20Z	feat-cards	feature: nine card thumbnails redone as one cut-paper series, art moved to hashed URLs	66.7	83.4	66.7	0	77.29	keep	no regression (spread ~0.35); set 199KB -> 136KB; ring screenshots byte-identical across the hashing move; live check: 9/9 images 200 immutable (probe-cards.mjs)
2026-08-18T15:10Z	feat-typo	feature: goo melt removed for a single relay; typography unified on Freesentation (OFL) subsets	50.1	83.4	50.1	0	81.85	keep	3 runs 81.95/81.89/81.72 vs prior 77.2s — outside noise. morph p95 66.7->50.1ms, idle p95 66.7->50.1ms: the SVG filter subtree cost the compositor at rest too. fonts 220KB otf/ttf -> 105KB woff2 subsets, and Hangul no longer falls back
